,Unnamed: 0,id,observed_on,description,latitude,longitude,map_scale,timeframe,species_guess,user_id,taxon_id,created_at,updated_at,place_guess,id_please,observed_on_string,iconic_taxon_id,num_identification_agreements,num_identification_disagreements,time_observed_at,time_zone,location_is_exact,delta,positional_accuracy,private_latitude,private_longitude,geoprivacy,quality_grade,positioning_method,positioning_device,out_of_range,license,uri,observation_photos_count,comments_count,zic_time_zone,oauth_application_id,observation_sounds_count,identifications_count,captive,community_taxon_id,site_id,old_uuid,public_positional_accuracy,mappable,cached_votes_total,last_indexed_at,private_place_guess,uuid,taxon_geoprivacy,short_description,user_login,iconic_taxon_name,tag_list,faves_count,created_at_utc,updated_at_utc,time_observed_at_utc,owners_identification_from_vision,user,taxon_name,rank,ancestry,common_name,common_name_id,common_name_name,is_valid,lexicon,rank_level,medium_photo_url,coordinates_obscured,tree_health
0,0,71093987,2021-03-10,blank,48.4942164559,-123.34739115139999,,,,3945649,48252,2021-03-12T23:34:33.642Z,2021-03-12T23:35:10.911Z,"Blenkinsop, Victoria, BC, CA",False,Wed Mar 10 2021 12:00:00 GMT-0800 (PST),47126,0,0,2021-03-10T12:00:00.000Z,UTC,False,False,2162.0,,,,needs_id,,,,CC-BY-NC,https://www.inaturalist.org/observations/71093987,4,0,Etc/UTC,3.0,0,1,False,,1.0,,2162.0,True,0,2021-03-13T02:54:21.551Z,,0f3970e8-67be-4007-9dc4-b78646e92426,open,,harkiratchohan,Plantae,[],0,2021-03-12T23:34:33.642Z,2021-03-12T23:35:10.911Z,2021-03-10T12:00:00.000Z,True,"{'login': 'harkiratchohan', 'user_icon_url': None}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://inaturalist-open-data.s3.amazonaws.com/photos/115691490/medium.jpg?1615592083,,brown
1,1,71090540,2021-03-12,blank,49.0827498545,-117.80198171100001,,,western redcedar,3953583,48252,2021-03-12T22:39:34.725Z,2021-03-12T22:58:43.109Z,"Rossland, BC, Canada",False,2021/03/12 2:04 PM UTC,47126,1,0,2021-03-12T14:04:00.000Z,UTC,False,False,1.0,,,,research,,,,CC-BY-NC,https://www.inaturalist.org/observations/71090540,2,0,Etc/UTC,,0,2,False,48252.0,1.0,,1.0,True,0,2021-03-12T22:58:47.650Z,,ae9218a3-bfe1-4b9a-a1fb-b9c801b5df93,open,,connjulia,Plantae,[],0,2021-03-12T22:39:34.725Z,2021-03-12T22:58:43.109Z,2021-03-12T14:04:00.000Z,True,"{'login': 'connjulia', 'user_icon_url': None}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://inaturalist-open-data.s3.amazonaws.com/photos/115683544/medium.jpeg?1615587776,,healthy
2,2,71090538,2021-03-12,blank,49.0827523438,-117.8020976631,,,Western Redcedar,3953583,48252,2021-03-12T22:39:34.087Z,2021-03-12T23:00:23.965Z,"Rossland, BC, Canada",False,2021/03/12 2:03 PM UTC,47126,0,0,2021-03-12T14:03:00.000Z,UTC,False,False,1.0,,,,needs_id,,,,CC-BY-NC,https://www.inaturalist.org/observations/71090538,3,1,Etc/UTC,,0,1,False,,1.0,,1.0,True,0,2021-03-12T23:00:26.965Z,,ed162af0-4703-4042-bbd2-24dc11b7713a,open,,connjulia,Plantae,[],0,2021-03-12T22:39:34.087Z,2021-03-12T23:00:23.965Z,2021-03-12T14:03:00.000Z,True,"{'login': 'connjulia', 'user_icon_url': None}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://inaturalist-open-data.s3.amazonaws.com/photos/115683461/medium.jpeg?1615587739,,healthy
3,3,71090537,2021-03-12,blank,49.082780452,-117.80201977200001,,,western redcedar,3953583,48252,2021-03-12T22:39:33.954Z,2021-03-12T23:00:03.317Z,"Rossland, BC, Canada",False,2021/03/12 1:58 PM UTC,47126,1,0,2021-03-12T13:58:00.000Z,UTC,False,False,1.0,,,,research,,,,CC-BY-NC,https://www.inaturalist.org/observations/71090537,2,1,Etc/UTC,,0,2,False,48252.0,1.0,,1.0,True,0,2021-03-12T23:00:10.330Z,,683c9888-4b99-4d5b-8f49-a8e491d657a0,open,,connjulia,Plantae,[],0,2021-03-12T22:39:33.954Z,2021-03-12T23:00:03.317Z,2021-03-12T13:58:00.000Z,True,"{'login': 'connjulia', 'user_icon_url': None}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://inaturalist-open-data.s3.amazonaws.com/photos/115683350/medium.jpeg?1615587698,,healthy
4,4,71090536,2021-03-12,blank,49.0827830872,-117.80199005370001,,,western redcedar,3953583,48252,2021-03-12T22:39:33.753Z,2021-03-12T22:58:46.814Z,"Rossland, BC, Canada",False,2021/03/12 1:57 PM UTC,47126,1,0,2021-03-12T13:57:00.000Z,UTC,False,False,1.0,,,,research,,,,CC-BY-NC,https://www.inaturalist.org/observations/71090536,2,0,Etc/UTC,,0,2,False,48252.0,1.0,,1.0,True,0,2021-03-12T22:58:51.899Z,,71e7bc08-8e3c-4b5d-8a22-e8790544ddb3,open,,connjulia,Plantae,[],0,2021-03-12T22:39:33.753Z,2021-03-12T22:58:46.814Z,2021-03-12T13:57:00.000Z,True,"{'login': 'connjulia', 'user_icon_url': None}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://inaturalist-open-data.s3.amazonaws.com/photos/115683317/medium.jpeg?1615587676,,healthy
5,5,71090534,2021-03-12,blank,49.0827633236,-117.801929704,,,Western Redcedar,3953583,48252,2021-03-12T22:39:33.042Z,2021-03-12T22:39:33.145Z,"Rossland, BC, Canada",False,2021/03/12 1:57 PM UTC,47126,0,0,2021-03-12T13:57:00.000Z,UTC,False,False,1.0,,,,needs_id,,,,CC-BY-NC,https://www.inaturalist.org/observations/71090534,3,0,Etc/UTC,,0,1,False,,1.0,,1.0,True,0,2021-03-12T22:39:45.130Z,,1917ef80-c207-4cc7-b49b-e670d7e637d8,open,,connjulia,Plantae,[],0,2021-03-12T22:39:33.042Z,2021-03-12T22:39:33.145Z,2021-03-12T13:57:00.000Z,True,"{'login': 'connjulia', 'user_icon_url': None}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://inaturalist-open-data.s3.amazonaws.com/photos/115683244/medium.jpeg?1615587639,,healthy
6,6,71084075,2021-03-12,blank,48.7557172,-122.44601399999999,,,,2147644,48252,2021-03-12T21:01:54.318Z,2021-03-12T21:02:06.134Z,Bellingham,False,2021-03-12 13:01:34-08:00,47126,0,0,2021-03-12T21:01:34.000Z,Pacific Time (US & Canada),False,False,23.0,,,,needs_id,,,,,https://www.inaturalist.org/observations/71084075,1,0,America/Los_Angeles,333.0,0,1,False,,1.0,,23.0,True,0,2021-03-13T02:55:36.651Z,,f981c845-d4e2-4a46-a678-d315ff6939f9,open,,gomi_otaku,Plantae,[],0,2021-03-12T21:01:54.318Z,2021-03-12T21:02:06.134Z,2021-03-12T21:01:34.000Z,True,"{'login': 'gomi_otaku', 'user_icon_url': None}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://inaturalist-open-data.s3.amazonaws.com/photos/115674262/medium.jpeg?1615582922,,healthy
7,7,71076607,2021-03-12,blank,47.6714887028,-122.34000321280001,,,,982661,48252,2021-03-12T18:52:34.395Z,2021-03-12T18:52:43.667Z,"Green Lake Park, Seattle, WA, US",False,Fri Mar 12 2021 10:52:07 GMT-0800 (PST),47126,0,0,2021-03-12T15:52:07.000Z,Eastern Time (US & Canada),False,False,65.0,,,,needs_id,,,,CC-BY-NC,https://www.inaturalist.org/observations/71076607,1,0,America/New_York,3.0,0,1,False,,1.0,,65.0,True,0,2021-03-12T18:52:44.946Z,,4d9bf4d1-190c-4ec4-a94c-e317818bc00e,open,,bgray98,Plantae,[],0,2021-03-12T18:52:34.395Z,2021-03-12T18:52:43.667Z,2021-03-12T15:52:07.000Z,True,"{'login': 'bgray98', 'user_icon_url': None}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://inaturalist-open-data.s3.amazonaws.com/photos/115660710/medium.jpg?1615575159,,healthy
8,8,71050957,2018-09-20,blank,51.9669771505,-120.1891342743,,,western redcedar,408815,48252,2021-03-12T08:29:34.286Z,2021-03-12T17:16:21.897Z,"Thompson-Nicola, BC, Canada",False,2018/09/20 4:31 PM PDT,47126,1,0,2018-09-20T23:31:00.000Z,Pacific Time (US & Canada),False,False,488.0,,,,research,,,,CC-BY-NC,https://www.inaturalist.org/observations/71050957,1,0,America/Los_Angeles,,0,2,False,48252.0,1.0,,488.0,True,0,2021-03-12T17:45:34.993Z,,9b1c2110-3516-465a-92e3-67c38a7de33d,open,,iancruickshank,Plantae,[],0,2021-03-12T08:29:34.286Z,2021-03-12T17:16:21.897Z,2018-09-20T23:31:00.000Z,True,"{'login': 'iancruickshank', 'user_icon_url': 'https://static.inaturalist.org/attachments/users/icons/408815/thumb.jpg?1500588801'}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://inaturalist-open-data.s3.amazonaws.com/photos/115615315/medium.jpeg?1615537528,,healthy
9,9,71047593,2021-03-11,blank,49.0334055,-122.68663000000001,,,western redcedar,4087881,48252,2021-03-12T06:25:40.053Z,2021-03-12T19:35:28.344Z,"Hazelmere, Surrey, BC, CA",False,Thu Mar 11 2021 13:37:00 GMT-0800 (PST),47126,1,0,2021-03-11T13:37:00.000Z,UTC,False,False,4.0,,,,research,,,,,https://www.inaturalist.org/observations/71047593,1,0,Etc/UTC,3.0,0,2,False,48252.0,5.0,,4.0,True,0,2021-03-12T19:36:02.221Z,,170b4452-a02b-48d9-a4f5-d06456479a92,open,,isaac-vcs,Plantae,[],0,2021-03-12T06:25:40.053Z,2021-03-12T19:35:28.344Z,2021-03-11T13:37:00.000Z,True,"{'login': 'isaac-vcs', 'user_icon_url': 'https://static.inaturalist.org/attachments/users/icons/4087881/thumb.jpeg?1615266352'}",Thuja plicata,species,48460/47126/211194/136329/47375/47374/1150915/48253,western redcedar,77887.0,western redcedar,True,English,70.0,https://static.inaturalist.org/photos/115609414/medium.jpg?1615530344,,healthy
